Gene,aboral1,aboral2,aboral3,aboral4,oral1,oral2,oral3,oral4
ML08384a,62,92,77,66,55,58,63,38
ML08385a,299,231,296,242,415,240,237,217
ML08386a,236,202,227,174,308,196,155,201
ML08387a,2,2,0,1,5,1,0,5
ML08388a,398,684,525,578,48,192,236,243
ML08389a,489,451,563,393,667,353,312,347
ML08411a,197,248,222,243,261,157,162,131
ML08412a,435,596,485,530,862,362,355,321
ML08413a,0,4,4,0,7,1,3,2
ML08414a,379,500,420,424,516,337,325,302
ML08415a,327,313,347,266,493,254,243,300
ML08416a,337,350,375,327,618,292,275,273
ML084210a,727,780,741,732,788,697,721,703
ML084211a,19,9,21,15,43,27,31,41
ML084212a,0,0,0,0,1,0,3,0
ML084213a,20,20,17,17,46,33,48,64
ML084214a,508,221,336,187,72,340,152,209
ML084215a,261,233,239,168,178,163,155,220
ML084216a,597,581,634,470,573,485,373,472
ML084217a,198,163,236,216,147,170,146,140
ML084218a,298,403,347,342,241,264,235,247
ML08421a,233,262,253,291,80,230,193,209
ML08422a,2,2,2,0,0,5,0,0
ML08423a,99,147,145,165,46,69,72,97
ML08424a,7,0,0,2,8,1,0,0
ML08425a,90,112,89,109,36,58,100,85
ML08426a,2782,3021,3304,2649,1480,2400,2200,2394
ML08427a,12,6,21,22,15,12,28,8
ML08428a,461,623,1291,117,357,409,63,199
ML08429a,14,23,28,37,41,17,36,7
ML084410a,2,4,4,0,5,4,2,5
ML084411a,505,641,763,838,565,475,611,488
ML084412a,0,0,0,0,0,0,0,0
ML084413a,0,0,0,0,0,0,0,0
ML084414a,974,1370,1338,1555,1199,837,729,765
ML084415a,559,560,608,458,524,561,413,387
ML084416a,178,113,143,109,150,132,98,107
ML084417a,246,219,239,203,238,178,172,180
ML084418a,359,63,86,32,142,257,76,175
ML084419a,161,97,163,57,113,211,53,75
ML08441a,10,18,32,25,768,886,1521,662
ML084420a,207,163,205,107,218,194,92,152
ML084421a,80,158,111,142,69,31,60,52
ML084422a,246,77,261,237,149,230,157,189
ML084423a,25,71,35,18,38,14,25,20
ML084424a,104,73,131,122,133,110,108,91
ML084425a,0,0,0,0,0,0,0,0
ML084426a,282,362,326,282,317,209,222,235
ML084427a,144,138,168,129,195,126,65,69
ML084428a,38,43,31,52,43,36,33,42
ML084429a,1161,1461,1543,1284,2093,1160,1020,1220
ML08442a,41,63,77,55,662,590,917,476
ML084430a,0,0,0,0,0,0,0,0
ML084431a,750,901,1496,1542,650,267,759,693
ML084432a,192,179,167,158,270,171,159,185
ML084433a,852,986,836,876,913,712,753,800
ML084434a,558,811,620,737,493,520,565,573
ML084435a,0,0,0,0,0,0,0,0
ML084436a,405,360,349,271,419,358,270,339
ML084437a,176,321,255,363,142,151,157,140
ML084438a,307,612,544,696,331,290,313,280
ML084439a,2229,2453,2094,2159,2142,1524,1738,1939
ML08443a,0,0,3,2,3,7,3,0
ML084440a,0,0,0,0,0,0,0,0
ML084441a,0,0,0,0,0,0,0,0
ML084442a,262,360,341,217,128,183,214,256
ML084443a,104,152,140,165,365,382,565,372
ML08444a,1328,1841,3431,1569,2719,1932,2761,2441
ML08445a,40,87,114,60,66,52,87,41
ML08446a,528,803,496,480,243,404,553,406
ML08447a,116,91,57,48,127,153,72,113
ML08448a,88,130,112,78,139,123,110,110
ML08449a,851,776,785,1538,907,648,835,735
ML08451a,132,99,108,131,34,75,71,90
ML08452a,862,993,940,906,768,699,651,777
ML08471a,64,69,80,46,32,77,25,37
ML084810a,73,102,103,69,66,69,86,75
ML084811a,8,4,1,4,15,55,46,29
ML084812a,31,21,19,17,59,46,56,41
ML084813a,442,642,819,830,292,241,446,323
ML08481a,519,451,436,438,473,590,542,668
ML08482a,175,273,200,204,171,79,180,177
ML08483a,30,6,13,10,21,35,24,18
ML08484a,0,0,0,0,0,0,0,0
ML08485a,0,0,0,0,0,1,0,0
ML08486a,7,8,4,2,8,14,3,1
ML08487a,2,2,7,9,302,247,481,447
ML08488a,93,163,73,103,82,69,90,83
ML08489a,13,2,8,0,1,7,1,5
ML085010a,1101,1495,1195,1347,1262,951,1101,1012
ML085011a,503,587,997,615,372,391,397,379
ML085012a,0,0,10,15,0,0,7,0
ML085013a,4,1,4,0,1,4,0,3
ML085014a,18,5,10,4,0,5,1,18
ML085015a,140,79,106,85,96,82,89,95
ML085016a,290,183,372,315,44,53,38,44
ML085017a,0,1,0,1,2,6,4,1
ML085018a,0,1,3,2,1,13,9,5
ML085019a,84,79,104,61,60,89,63,50
ML08501a,31,25,24,36,22,38,25,18
ML085020a,298,128,209,130,94,225,72,138
ML085021a,59,339,164,479,72,37,162,36
ML085022a,402,458,419,420,421,384,371,354
ML085023a,240,438,336,197,155,84,62,133
ML085024a,384,404,442,441,258,373,295,295
ML085025a,154,141,143,174,98,107,121,151
ML085026a,235,106,157,73,129,139,81,172
ML085027a,250,296,350,284,323,210,193,245
ML085028a,603,690,667,690,747,559,419,504
ML085029a,116,52,94,52,111,130,66,50
ML08502a,0,0,0,0,1,0,0,0
ML085030a,1247,908,1050,766,1331,1086,665,797
ML085031a,1087,1634,1692,1446,907,850,990,1164
ML085032a,145,191,212,191,190,149,180,145
ML085033a,103,106,152,114,119,135,86,113
ML085034a,247,334,293,247,323,249,247,255
ML085035a,10,24,24,30,13,16,19,14
ML08503a,744,927,760,911,964,740,781,759
ML08504a,0,0,0,0,0,0,0,0
ML08505a,650,994,888,693,453,709,449,535
ML08506a,0,0,0,0,1,0,0,0
ML08507a,0,0,0,0,0,0,0,0
ML08508a,128,244,220,297,218,127,218,175
ML08509a,85,132,87,84,95,125,97,151
ML085210a,0,2,3,0,10,8,15,16
ML085211a,80,60,44,30,45,37,48,66
ML085212a,33,61,53,46,37,30,49,30
ML085213a,50,102,50,53,2075,2031,2619,2325
ML08521a,67,67,65,83,43,42,36,48
ML08522a,96,139,122,109,229,116,88,146
ML08523a,0,1,0,0,0,0,0,1
ML08524a,193,177,210,164,168,105,160,193
ML08525a,365,649,593,551,253,254,307,288
ML08526a,584,613,588,537,744,507,486,494
ML08527a,206,147,155,168,214,191,129,150
ML08528a,42,79,71,69,15,54,48,32
ML08529a,3,2,0,0,5,8,9,8
ML08531a,27,14,51,25,46,11,26,32
ML085410a,152,61,201,60,62,46,45,84
ML08541a,372,381,368,403,160,239,198,246
ML08542a,1,5,4,1,4,3,1,5
ML08543a,2430,670,2243,1001,1126,526,871,1918
ML08544a,2,5,18,8,16,10,4,16
ML08545a,1237,1809,1733,1716,981,1178,1275,1250
ML08546a,877,951,903,939,854,784,797,716
ML08547a,5212,2465,3487,2166,3377,3246,1546,2337
ML08548a,0,0,0,0,0,0,0,0
ML08549a,1419,148,556,100,880,1199,124,468
ML08551a,8,8,18,7,28,9,9,17
ML085710a,198,237,213,145,205,178,121,138
ML085711a,58,118,78,153,258,88,96,124
ML085712a,2,4,5,10,116,84,151,96
ML085713a,62,111,116,170,96,33,54,50
ML085714a,89,95,99,148,325,183,333,237
ML085715b,2,10,3,7,1,2,6,1
ML085716a,3,6,4,1,6,5,17,4
ML085717a,9,9,16,1,15,14,6,10
ML085718a,351,446,570,418,559,357,353,391
ML085719a,105,110,142,123,156,84,88,108
ML08571a,1,1,4,0,4,0,1,0
ML085720a,269,340,389,229,178,235,110,223
ML085721a,1296,1635,1614,1290,1370,1287,988,1168
ML085722a,207,259,244,203,180,186,138,164
ML085723a,0,0,0,0,0,0,0,0
ML085724a,6,16,5,13,12,9,8,7
ML085725a,252,479,504,726,109,139,205,194
ML085726a,687,745,555,860,355,186,402,430
ML085727a,1,0,5,1,6,8,9,5
ML085728a,14,4,5,5,9,7,8,17
ML085729a,214,265,276,301,225,156,190,182
ML08572a,249,236,194,168,159,116,94,173
ML085730b,37,309,112,124,0,3,0,5
ML085731a,27,250,45,108,1,2,2,5
ML085732b,16,127,61,50,1,0,1,0
ML085733a,53,547,186,250,0,10,1,2
ML085734b,26,184,38,76,2,2,1,0
ML085735a,850,1186,779,703,735,425,644,825
ML085736a,1,0,0,0,0,0,0,0
ML085737a,85,178,186,271,140,45,109,74
ML085738a,126,163,140,121,120,117,90,106
ML085739a,259,291,338,221,203,198,161,201
ML08573a,383,436,439,321,557,340,280,284
ML085740a,0,0,0,0,0,0,0,0
ML085741b,19,290,126,157,0,6,1,2
ML08574a,266,236,303,219,455,231,165,210
ML08575a,476,434,511,431,775,464,361,423
ML08576a,441,429,475,340,429,323,277,363
ML08577a,299,18,83,13,229,151,23,73
ML08578a,549,728,726,669,516,542,488,441
ML08579a,0,0,0,0,0,0,0,0
ML08581a,32,96,158,50,45,28,55,37
ML085910a,325,204,274,201,478,316,225,231
ML085911a,141,219,187,149,227,122,117,142
ML085912a,30,333,187,308,155,128,283,31
ML08591a,8,19,6,10,15,4,7,7
ML08592a,4,17,7,8,16,0,11,6
ML08593b,346,352,358,311,337,305,246,264
ML08594a,1062,1074,1263,1165,1505,1115,961,959
ML08595a,1,1,0,0,0,0,0,0
ML08596a,200,199,202,119,192,145,138,168
ML08597a,332,228,503,385,354,228,186,226
ML08598a,4,11,2,5,25,11,14,18
ML08599a,404,513,442,390,673,421,331,376
ML086010a,91,167,218,142,117,129,94,72
ML08601a,31,53,44,29,26,18,28,32
ML08602a,0,0,0,0,0,0,0,0
ML08603a,2,8,5,5,7,8,4,11
ML08604a,9,6,9,12,7,11,4,12
ML08605a,333,417,461,393,517,309,374,414
ML08606a,90,79,87,94,181,150,137,170
ML08607a,86,77,95,96,111,49,73,94
ML08608a,695,956,952,749,1116,660,585,638
ML08609a,293,587,444,365,417,336,298,344
ML08611a,27,52,55,37,11,37,23,30
ML08612a,0,0,0,0,0,1,1,0
ML08613a,757,648,644,694,775,638,484,544
ML08614a,86,54,63,64,64,64,55,64
ML08615a,27,36,71,31,99,55,20,28
ML08616a,12,13,12,2,10,4,13,10
ML08631a,338,276,318,287,398,232,206,206
ML08632a,527,642,679,591,565,516,470,461
ML08633a,951,980,984,866,822,824,819,867
ML08634a,467,329,410,251,333,370,276,338
ML08635a,609,82,167,376,29,66,49,161
ML08636a,251,22,97,29,165,146,32,84
ML08637a,0,0,0,0,0,0,0,0
ML086410a,0,0,0,0,0,0,0,0
ML086411a,48,60,74,35,55,48,39,42
ML086412a,45,30,63,41,16,69,27,39
ML086413a,307,242,287,204,329,273,196,223
ML086414a,0,0,0,0,0,0,0,0
ML086415a,354,185,214,331,225,174,185,235
ML086416a,0,0,0,0,0,0,0,0
ML086417a,0,0,0,0,0,0,0,0
ML086418a,88,105,69,191,181,179,158,80
ML086419a,0,0,3,0,0,3,0,0
ML08641a,365,384,376,363,296,272,266,315
ML086420a,346,485,522,434,550,355,317,345
ML086421a,0,0,0,0,0,0,0,0
ML086422a,10,20,21,9,33,13,5,13
ML086423a,390,550,611,398,437,423,322,409
ML086424a,42,45,68,51,95,37,48,73
ML086425a,923,953,1049,762,955,919,789,971
ML086426a,349,280,245,218,397,252,233,256
ML086427a,391,428,504,326,454,355,234,308
ML086428a,176,143,183,153,157,167,89,145
ML086429a,162,165,207,146,352,142,118,158
ML08642a,608,670,610,597,668,417,515,503
ML086430a,128,106,145,130,118,77,92,112
ML086431a,240,160,245,219,304,169,148,156
ML086432a,3734,6546,5626,7338,4330,3706,4682,4025
ML086433a,0,0,0,0,0,0,0,0
ML086434a,803,1003,1163,953,1003,615,620,685
ML086435a,376,674,507,666,414,424,339,275
ML086436a,607,218,704,569,498,310,503,712
ML086437a,2240,3086,2423,3007,1503,1659,2181,1989
ML086438a,0,0,0,0,0,0,0,0
ML086439a,58,149,101,117,24,43,63,47
ML08643a,99,77,73,51,123,116,73,77
ML086440a,664,987,566,807,436,656,553,521
ML086441a,314,107,232,93,295,172,67,71
ML086442a,0,0,0,1,0,0,0,0
ML086443a,0,3,1,0,0,0,0,0
ML086444a,319,225,277,270,386,304,199,246
ML086445a,0,0,3,2,11,65,69,33
ML086446a,184,234,209,204,265,175,216,190
ML086447a,19,21,12,21,16,17,23,15
ML086448a,19,26,30,35,37,41,38,30
ML08644a,0,0,0,0,0,0,0,0
ML08645a,2068,2122,2310,1986,2752,1728,1334,1752
ML08646a,572,838,837,1373,368,350,479,384
ML08647a,517,532,544,447,533,536,374,429
ML08648a,0,0,0,0,0,0,0,0
ML08649a,234,307,271,197,388,204,140,185
ML086610a,193,427,429,410,319,231,319,226
ML086611a,149,124,224,165,37,51,83,120
ML086612a,842,755,901,894,793,759,743,693
ML086613a,37,0,24,10,19,55,16,22
ML086614a,1593,1827,2039,1659,2790,1530,1192,1523
ML086615a,748,911,949,730,938,694,598,688
ML086616a,2508,2924,3256,2698,4464,2412,2226,2102
ML086617a,826,873,959,888,1230,721,656,785
ML086618a,200,187,186,188,161,150,146,117
ML086619a,1,1,3,2,0,1,3,1
ML08661a,80,98,71,89,4,49,52,36
ML086620a,174,113,169,122,186,106,90,133
ML086621a,110,125,163,128,214,122,104,120
ML086622a,249,404,342,277,268,140,178,205
ML086623a,178,157,181,134,121,147,97,90
ML086624a,40,9,33,4,34,18,13,40
ML086625a,1103,1093,1471,1588,1429,1231,1315,1222
ML086626a,307,338,273,334,408,237,280,293
ML086627a,193,284,147,68,231,109,67,153
ML086628a,283,211,331,311,170,254,234,243
ML086629a,236,271,409,274,316,233,205,210
ML08662a,6,3,6,3,20,2,10,7
ML086630a,0,0,1,4,0,0,0,0
ML086631a,7,5,5,3,2,5,3,6
ML086632a,1036,1326,1252,1319,904,852,812,819
ML086633a,173,216,237,195,128,222,173,170
ML086634a,102,187,154,154,283,236,250,275
ML086635a,186,262,200,215,181,179,167,151
ML086636a,0,0,0,1,4,2,1,1
ML08663a,9,1,11,22,20,16,14,29
ML08664a,177,223,176,130,17,80,84,64
ML08665a,693,643,666,598,605,551,542,568
ML08666a,47,58,58,107,634,589,820,814
ML08667a,0,0,0,0,1,1,2,1
ML08668a,0,0,4,5,0,2,0,1
ML08669a,3,29,9,4,38,21,11,11
ML08671a,50,158,101,53,59,55,82,45
ML087110a,0,0,0,0,0,0,0,0
ML087111a,7,99,3,55,53,70,57,5
ML087112a,1044,1162,1028,1128,727,898,747,702
ML087113a,28,13,25,9,15,13,12,14
ML087114a,3,9,2,1,19606,19246,35171,35536
ML087115a,291,188,197,132,194,238,210,259
ML087116a,1039,1213,1348,1669,717,605,674,565
ML087117a,469,26,174,16,288,241,22,139
ML087118a,228,7,94,10,119,131,15,75
ML08711a,134,92,78,138,54,44,66,78
ML08712a,101,109,79,112,115,68,56,61
ML08713a,334,581,693,667,78,156,298,232
ML08714a,14,214,125,134,40,8,59,5
ML08715a,180,77,157,144,141,78,135,112
ML08716b,1603,1634,1481,1473,1245,1274,1134,1197
ML08717a,7,3,7,1,8,7,5,5
ML08718a,0,0,0,0,0,0,0,0
ML08719a,0,0,0,0,0,0,0,0
ML087210a,18,28,25,73,9,2,3,0
ML087211a,0,0,0,0,0,0,0,0
ML087212a,5,2,79,167,14,63,142,6
ML087213a,433,656,571,664,547,441,405,468
ML087214a,6,3,16,19,1,3,0,0
ML087215a,213,295,320,249,270,217,153,183
ML08721a,35,25,25,22,36,33,33,35
ML08722a,0,0,0,0,0,0,0,0
ML08723a,1139,1234,1921,1735,503,349,529,800
ML08724a,0,0,0,0,0,0,0,0
ML08725a,89,87,67,55,61,81,54,61
ML08726a,353,354,345,295,450,268,247,290
ML08727a,518,218,383,325,534,354,198,344
ML08728a,9,11,12,16,68,29,36,39
ML08729a,2,2,0,2,2,1,1,3
ML08751a,332,371,453,313,278,255,278,315
ML08752a,77,88,83,60,95,72,38,79
ML08801a,354,640,634,690,387,249,331,378
ML08802a,147,168,189,143,104,118,127,116
ML088210a,474,708,920,1053,617,380,803,691
ML088211a,262,375,485,420,101,82,124,137
ML08821a,371,478,485,476,283,289,277,323
ML08822a,498,756,881,793,911,320,388,425
ML08823a,252,267,282,194,222,203,219,273
ML08824a,86,108,20,27,21,106,21,59
ML08825a,562,758,687,804,435,383,226,366
ML08826a,2234,1677,1870,1511,1160,687,657,930
ML08827a,18,32,48,26,28,29,25,19
ML08828a,374,660,722,874,775,340,784,585
ML08829a,2,15,28,12,10,7,8,1
ML08831a,583,664,614,581,411,504,487,474
ML08832a,1686,2104,2082,2124,1766,1373,1298,1258
ML08833a,404,367,501,437,274,164,165,196
ML08834a,331,331,249,239,364,219,231,256
ML08835a,0,0,0,0,0,0,0,0
ML08836a,0,0,0,0,0,0,0,0
ML08837a,2,2,3,0,1,4,9,5
ML08861a,157,123,130,116,112,102,69,108
ML08862a,85,77,94,68,29,94,45,59
ML08863a,61,73,76,81,61,81,62,57
ML08871a,12,9,6,5,18,10,2,4
ML088810a,0,0,0,0,0,0,0,0
ML088811a,503,525,464,430,473,450,332,354
ML088812a,0,0,0,0,0,1,0,0
ML088813a,49,56,40,45,50,54,44,52
ML088814a,300,321,338,254,426,293,221,259
ML088815a,204,180,289,186,180,140,150,156
ML088816a,103,76,82,68,45,73,42,85
ML088817a,134,187,144,132,79,105,95,114
ML088818a,30,24,22,16,20,3,11,25
ML08881a,39,40,32,54,26,38,29,37
ML08882a,0,1,0,0,1,0,0,1
ML08883a,790,1407,1206,1737,585,519,695,708
ML08884a,94,151,125,73,86,66,76,38
ML08885a,8,59,18,2,7,6,3,6
ML08886a,230,60,311,147,454,376,103,217
ML08887a,2447,2755,2995,2767,3586,2491,2422,2135
ML08888a,0,0,0,0,0,0,0,0
ML08889a,0,0,0,0,0,0,0,0
ML089110a,0,0,0,0,0,0,0,0
ML08911a,9,8,16,7,63,28,63,40
ML08912a,56,99,77,115,32,32,52,37
ML08913a,13,36,52,26,98,20,50,27
ML08914a,126,137,224,149,250,121,150,116
ML08915a,187,208,351,246,319,103,153,125
ML08916a,33,65,74,60,62,57,39,37
ML08917a,92,103,106,104,51,103,41,59
ML08918a,242,255,257,234,205,161,161,154
ML08919a,52,80,148,8,121,26,93,56
ML089210a,169,178,196,215,60,111,118,126
ML089211a,81,113,49,100,151,47,66,54
ML089212a,0,0,0,0,24,9,1,5
ML089213a,275,21,66,0,488,114,12,175
ML089214a,1461,1815,1857,1586,1393,1392,1356,1377
ML08921a,151,187,183,155,207,190,102,137
ML08922a,482,321,384,413,270,399,259,360
ML08923a,176,150,150,153,118,153,103,152
ML08924a,1031,330,559,237,1589,1068,520,956
ML08925a,2,2,3,1,3,5,2,4
ML08926a,0,0,0,0,0,0,0,0
ML08927a,4,6,8,0,4,5,2,3
ML08928a,325,267,341,230,503,334,166,257
ML08929a,0,0,0,2,5,31,18,10
ML089410a,187,182,214,223,118,164,120,121
ML089411a,618,502,297,346,296,376,259,533
ML089412a,53,95,54,60,61,35,38,32
ML089413a,184,190,211,216,288,114,298,205
ML089414a,1736,1535,1409,1368,938,1498,1139,1487
ML089415a,980,1234,1364,1115,1372,896,751,775
ML089416a,205,143,167,123,187,194,113,113
ML089417a,102,112,146,91,230,114,85,105
ML089418a,32,88,122,122,40,18,51,24
ML08941a,3951,4911,4132,2374,4809,3890,5730,6576
ML08942a,33,46,32,27,44,33,19,44
ML08943a,6,8,2,5,2,3,9,3
ML08944a,135,174,188,135,165,161,162,176
ML08945a,55,56,68,58,233,121,119,119
ML08946a,1103,605,817,629,846,670,607,701
ML08947a,199,265,203,196,127,175,117,131
ML08948a,47,2,21,6,14,32,9,12
ML08949a,22,15,20,21,22,15,23,19
ML08961a,6,16,10,43,7,5,35,6
ML08962a,0,0,0,1,2,0,1,1
ML08963a,256,479,572,358,132,103,89,77
ML08964a,4,13,1,8,1,9,30,5
ML08965a,0,0,0,0,0,0,0,0
ML089710a,70,47,80,61,63,22,35,46
ML089711a,31,17,21,28,17,17,34,35
ML089712a,33,26,20,6,18,18,13,15
ML089713a,1,0,2,3,0,0,3,1
ML089714a,1589,3486,2366,2598,1897,1163,2122,1520
ML089715a,214,58,107,19,86,120,26,42
ML089716a,27,13,16,9,15,14,11,5
ML089717a,122,15,39,3,58,44,9,12
ML089718a,77,18,39,2,57,45,13,20
ML089719a,57,50,50,52,117,73,63,62
ML08971a,241,408,360,561,154,238,324,256
ML089720a,2352,2438,2605,3127,1543,1204,1001,1331
ML08972a,107,260,173,143,118,82,61,92
ML08973a,0,0,0,0,3,0,1,0
ML08974a,476,1622,1191,1475,140,81,160,119
ML08975a,1,0,0,0,1,0,0,0
ML08976a,0,0,0,0,0,0,0,0
ML08977a,2,3,8,4,1,1,4,3
ML08978a,5,5,10,7,1,2,7,10
ML08979a,77,91,156,74,50,64,87,90
ML08981a,484,699,679,600,786,595,457,513
ML09001a,160,137,158,146,165,140,106,127
ML09002a,3090,3517,4115,3007,4871,2872,2674,2772
ML090110a,0,0,0,0,0,0,0,0
ML090111a,382,399,392,333,490,362,339,335
ML090112a,218,266,209,211,196,224,224,246
ML090113a,115,255,173,138,52,206,151,92
ML090114a,0,0,0,0,0,0,0,0
ML090115a,439,649,495,325,348,296,302,402
ML090116a,434,457,482,414,358,286,215,225
ML090117a,1,2,13,4,3,3,0,2
ML090118a,582,639,662,839,377,460,486,509
ML090119a,677,829,850,814,559,522,532,548
ML09011a,73,79,185,145,120,125,111,60
ML090120a,470,661,598,597,467,354,328,388
ML090121a,606,678,598,567,483,506,451,505
ML090122a,129,119,111,95,229,100,84,141
ML090123a,169,185,131,56,167,89,35,150
ML090124a,297,283,318,212,234,144,154,221
ML090125a,2455,2380,2690,2438,2581,2017,1570,1936
ML090126a,967,983,989,767,1297,983,739,814
ML09012a,1530,1615,1519,1376,1500,1435,1109,1194
ML09013a,661,338,467,288,515,429,221,334
ML09014a,10,18,14,21,23,10,31,15
ML09015a,14,30,30,13,22,22,12,16
ML09016a,9,13,14,13,17,11,12,13
ML09017a,321,496,375,384,287,211,268,224
ML09018a,597,547,654,545,591,480,403,457
ML09019a,449,238,291,206,281,296,192,297
ML090210a,115,187,137,152,122,109,77,81
ML090211a,953,65,262,58,279,252,61,182
ML090212a,80,195,220,293,24,17,64,62
ML090213a,551,835,769,722,421,424,480,505
ML090214a,2696,2164,2490,2016,1887,2239,1499,1888
ML090215a,715,1028,895,1066,747,739,802,818
ML090216a,0,0,1,0,0,2,1,1
ML090217a,31,154,66,50,378,126,134,191
ML090218a,4180,5745,4823,4279,5003,4010,3472,3991
ML090219a,250,184,154,152,383,175,112,254
ML09021a,656,567,612,485,718,574,476,587
ML090220a,703,968,858,985,611,595,711,558
ML090221a,20,8,1,1,13,4,1,13
ML090222a,1,0,3,1,14,499,1516,234
ML090223a,514,467,457,410,612,490,375,423
ML090224a,0,0,0,1,35,9,18,12
ML090225a,122,46,63,62,96,35,111,98
ML090226a,144,186,196,203,348,169,134,128
ML090227a,0,1,1,2,0,1,0,0
ML090228a,11,11,23,13,6,3,10,3
ML09022a,240,148,221,124,201,184,99,129
ML09023a,11988,920,4626,534,8608,8478,743,7978
ML09024a,0,0,1,0,0,3,4,2
ML09025a,1,2,5,1,16,20,31,14
ML09026a,79,156,114,113,55,82,56,72
ML09027a,38,133,101,76,66,32,40,48
ML09028a,201,270,202,241,129,163,162,133
ML09029a,0,0,0,0,0,1,0,0
ML09051a,813,907,852,1044,690,695,653,615
ML09052a,224,190,190,201,256,173,156,167
ML09053a,1062,1038,1001,1005,498,749,751,757
ML090610a,987,650,677,557,803,470,434,725
ML090611a,306,359,482,252,398,277,220,287
ML09061a,186,281,245,248,107,71,89,79
ML09062a,68,354,84,54,112,57,52,64
ML09063a,624,653,681,747,102,233,362,272
ML09064a,137,448,627,560,301,389,547,372
ML09065a,19,2,16,7,8,2,10,12
ML09066a,13,35,39,45,84,45,87,62
ML09067a,144,74,88,79,99,80,68,79
ML09068a,0,0,0,0,0,0,0,0
ML09069a,147,62,88,63,90,105,76,90
ML09071a,587,1425,1200,737,432,378,460,565
ML09072a,1727,2307,2171,1754,1690,1704,1555,1774
ML09073a,247,130,236,16,2535,2488,3031,1913
ML09074a,6,2,1,0,2,4,5,8
ML09075a,10,6,2,0,0,1,0,11
ML09076a,5,0,0,0,0,0,0,0
ML090810a,263,308,250,198,160,180,216,201
ML090811a,103,151,228,175,55,61,65,49
ML090812a,0,1,0,0,2284,2021,6691,1029
ML090813a,2,0,1,1,0,3,5,2
ML090814a,1071,2125,1572,1895,1414,1037,1116,1362
ML090815a,187,215,223,148,40,68,69,106
ML090816a,9,21,21,22,13,13,15,9
ML090817a,275,370,357,259,265,159,243,254
ML09081a,615,706,608,492,867,519,430,514
ML09082a,0,0,0,0,1,0,0,1
ML09083a,101,141,124,113,206,99,112,115
ML09084a,58,171,97,33,58,50,24,40
ML09085a,17,56,51,62,17,24,27,36
ML09086a,352,320,259,155,146,261,236,265
ML09087a,0,0,0,0,0,0,0,0
ML09088a,0,0,0,0,0,0,0,0
ML09089a,0,0,0,0,0,0,0,0
ML09091a,0,1,2,0,0,0,0,0
ML091010a,77,85,93,62,221,59,56,70
ML091011a,114,115,123,80,59,75,49,86
ML09101a,201,279,296,371,166,168,207,155
ML09102a,289,302,210,245,184,210,240,229
ML09103a,0,0,3,4,0,2,4,1
ML09104a,15,46,12,32,16,20,35,16
ML09105a,132,136,98,88,64,100,53,86
ML09106a,25,19,33,26,32,29,17,31
ML09107a,322,363,365,373,334,209,282,255
ML09108a,0,0,0,0,0,0,0,0
ML09109a,500,773,568,573,624,341,361,353
ML091210a,963,2036,1902,1489,1501,1007,929,745
ML091211a,475,555,685,484,594,403,367,362
ML091212a,671,631,686,688,548,656,595,568
ML091213a,1,5,3,16,90,128,235,181
ML091214a,14,59,40,32,252,84,126,123
ML091215a,216,125,216,149,387,161,236,321
ML091216a,17,67,48,43,30,14,17,7
ML091217a,117,358,319,269,232,105,153,96
ML091218a,468,558,451,408,482,304,224,241
ML091219a,6334,7792,7867,7896,6912,5018,5275,4503
ML09121a,4,5,4,2,4,3,2,5
ML091220a,190,256,247,257,164,156,170,199
ML091221a,0,0,0,0,0,0,0,0
ML091222a,146,239,161,271,49,82,94,111
ML091223a,581,537,656,727,204,271,295,312
ML091224a,469,469,624,556,376,223,257,284
ML091225a,570,556,630,518,592,505,388,417
ML091226a,928,1318,1043,1184,859,676,754,699
ML091227a,1213,1661,1474,1507,1320,1165,1166,1075
ML09122a,769,585,655,530,849,612,603,561
ML09123a,6,9,15,9,9,13,8,9
ML09124a,58,63,63,57,69,55,63,49
ML09125a,2,14,9,5,2,5,6,5
ML09126a,27,6,18,25,38,16,15,20
ML09127a,2,4,3,3,9,3,4,3
ML09128a,107,102,137,85,93,166,91,80
ML09129a,21,23,25,21,59,27,14,25
ML09141a,1,0,0,1,0,0,1,0
ML09142a,425,536,541,481,343,298,230,279
ML09143a,204,374,229,352,289,179,473,356
ML09144a,359,173,311,176,176,330,92,217
ML09145a,637,617,557,573,670,378,526,504
ML09146a,24,87,36,78,116,78,226,41
ML09147a,8,78,30,17,7,14,6,9
ML09148a,47,187,60,27,96,40,26,28
ML09149a,0,0,0,0,1,2,1,0
ML09151a,0,0,8,0,0,0,0,0
ML091710a,54,55,43,43,46,39,25,43
ML091711a,0,0,0,0,0,0,0,0
ML091712a,501,448,477,398,592,414,342,379
ML091713a,74,58,56,48,78,54,37,50
ML091714a,284,187,231,205,351,231,201,188
ML091715a,513,644,515,404,585,450,332,356
ML091716a,121,97,99,101,103,106,96,91
ML091717a,616,675,648,666,643,503,430,483
ML091718a,12,37,42,20,15,62,26,9
ML09171a,371,373,421,304,697,308,287,372
ML09172a,0,0,0,0,0,0,0,0
ML09173a,595,394,506,426,378,353,278,465
ML09174a,0,0,0,0,0,0,0,0
ML09175a,134,202,186,175,158,140,114,118
ML09176a,234,508,329,192,337,324,139,236
ML09177a,65,77,40,9,30,61,16,56
ML09178a,16,34,26,37,27,11,23,11
ML09179a,1614,2240,2450,2321,1717,1520,1591,1544
ML09201a,60,43,41,34,32,27,20,33
